"POST request for user", "POST užklausa vartotojams",
"GET request for user", "GET užklausa vartotojams",
"GET request for products list", "GET užklausa produktų sąrašui",
"Enter user ID", "Įveskite vartotojo ID",
"Enter WeatherType Name", "Įveskite oro sąlygos pavadinimą",
"Submit", "Vykdyti",
"User ID", "Vartotojo ID",
"User Name", "Vartotojo Vardas",
"User Surname", "Vartotojo Pavardė",
"User Birth Date", "Vartotojo Gimimo Data",
"User Preferred Weather Type", "Vartotojo Mėgstamas Orų tipas",
"Currently there are no registered users", "Šiuo metu nėra užregistruotų vartotojų",
"ID must be a positive integer, input given: ", "ID turi būti teigiamas skaičius, duota reikšmė: ",
". Please try again", ". Bandykite dar kartą",
"An error occurred. User with ID: ", "Klaida. Vartotojas su ID: ",
" does not exist", " neegzistuoja",
"User's: ", "Vartotojo: ",
" Weather Type was successfully changed", " Orų sąlygos tipas buvo sėkmingai pakeistas",
"An error occurred. Weather Type of user: ", "Klaida. Vartotojo orų tipas: ",
" was not changed", " nebuvo pakeistas",
"No Preferred Weather Type", "Neturi mėgstamo orų tipo",
"Operation has been completed", "Operacija atlikta"
